S1,S2,S3,S4,S5,PM2.5,0.3,0.5,1,2.5
1.295700136,4.44E-08,3.016474294,6.00E-13,0.822610155,23.32368056,2982.785278,848.520625,107.7795139,6.353402778
7.673744818,1.19E-24,0.074245206,1.31E-27,7.71E-32,5.810486111,900.8776389,254.325,28.39722222,1.72625
1.14E-05,6.60E-05,8.400434105,2.61E-08,4.88E-05,12.99638889,1792.153681,505.2633333,54.93868056,2.748125
0.023864091,0.003342713,4.966158435,1.64E-08,3.653647731,23.21125,3212.076389,923.7702083,133.2377778,8.141736111
7.663471907,0.027947295,0.42582631,0.435395267,0.546313535,0.383194444,165.0427083,46.13041667,4.873611111,0.423194444
0.294472819,0.001374469,6.553451841,0.098925107,1.127862704,10.18625,1265.158958,360.5215972,43.83013889,2.485208333
0.000590923,2.915781311,3.445469241,0.925999522,0.009398875,13.58,1764.263958,501.3734722,60.88090278,3.412708333
6.11814874,0.147277974,0.018109266,2.291880809,2.649012246,1.53375,327.1609028,91.74381944,9.659652778,0.620833333
6.21E-10,1.30E-14,2.535583287,0.458405974,1.28E-06,11.71270833,1353.038958,389.2138889,60.516875,4.473402778
0.660555998,2.556296317,1.254362802,0.242150526,5.083925005,7.005138889,1007.662361,285.078125,32.95770833,1.973472222
1.901652941,8.25E-05,1.952696938,0.171892856,5.387384211,2.460763889,470.9536111,131.0311111,13.17076389,0.996319444
0.025909274,5.41E-13,3.22838844,5.77E-17,2.469099116,1.412916667,314.9464583,88.84305556,10.11215278,0.753888889
0.024219213,2.24E-05,3.544611816,0.039973363,4.463692051,1.513194444,360.0357639,99.51270833,7.068333333,0.376944444
0.000488782,0.003682968,5.54976671,2.79E-11,1.112515723,30.13938462,4236.968077,1208.930385,144.9392308,7.029307692
4.18E-07,8.79E-24,0.331534643,1.45E-31,6.494311884,6.892083333,1038.425417,294.9076389,35.13041667,2.169513889
4.93E-05,1.84E-19,5.853731646,1.59E-11,1.676486545,7.069930556,1009.542222,287.2905556,36.55027778,2.305277778
6.42E-05,7.30E-34,1.813793699,8.21E-36,3.210620845,9.233680556,1449.102569,406.2230556,44.60895833,2.423125
1.99E-14,6.66E-47,0.001618157,1.49E-52,5.063175439,1.189513889,307.4457639,85.95166667,10.33118056,0.918819444
0.015083985,1.69E-18,2.809850119,4.95E-16,1.059975789,1.573125,373.8910417,104.0479167,11.01770833,0.820277778
0.000504943,9.29E-07,2.422734768,1.07E-06,8.752643581,2.38389313,440.6044275,124.8606107,16.78748092,1.198625954
0.000161272,5.64E-08,4.407325047,1.643621579,5.304288162,2.996458333,551.0819444,155.5838194,18.3725,1.181041667
0.017672512,1.77E-16,2.893274177,7.21E-13,1.273453091,18.996875,3156.239792,876.8270833,84.81819444,3.856388889
0.002245331,0.040575417,1.535405703,0.634237938,7.418210835,3.858263889,669.8238889,189.5572222,21.93597222,1.354652778
0.000299358,1.77E-06,1.52420613,2.62E-05,11.43140182,2.31875,466.2740972,131.0833333,14.29006944,0.866041667
5.815315524,1.73E-41,0.001105384,5.19E-74,1.36E-06,2.217777778,401.9602083,114.939375,15.92798611,1.083472222
3.110346977,1.19E-77,1.02E-29,1.14E-109,4.72E-64,5.210972222,909.9215278,253.6274306,23.32819444,1.365416667
0.246984059,8.19E-09,0.109662171,2.96E-10,9.363214661,3.579333333,697.2619259,192.6244444,17.28296296,1.040296296
0.116620636,0.653342676,2.656430313,1.758181149,6.62403274,12.90888889,2316.684444,626.7464583,40.1275,1.600972222
1.18E-11,3.29E-24,8.44E-08,8.04E-23,13.12454676,2.181666667,466.2581944,129.4628472,12.88048611,0.908333333
